,imdb_title_id,title,year,date_published,genre,duration,country,language,director,writer,budget,worlwide_gross_income,metascore,income
73865,tt4154796,Avengers: Endgame,2019,2019-04-24,"Action, Adventure, Drama",181,USA,"English, Japanese, Xhosa, German","Anthony Russo, Joe Russo","Christopher Markus, Stephen McFeely",356000000.0,$ 2797800564,78.0,2797800564.0
49415,tt0499549,Avatar,2009,2010-01-15,"Action, Adventure, Fantasy",162,USA,"English, Spanish",James Cameron,James Cameron,237000000.0,$ 2790439092,83.0,2790439092.0
31086,tt0120338,Titanic,1997,1998-01-16,"Drama, Romance",194,"USA, Mexico, Australia, Canada","English, Swedish, Italian, French",James Cameron,James Cameron,200000000.0,$ 2195169869,75.0,2195169869.0
67523,tt2488496,Star Wars - Il risveglio della Forza,2015,2015-12-16,"Action, Adventure, Sci-Fi",138,USA,English,J.J. Abrams,"Lawrence Kasdan, J.J. Abrams",245000000.0,$ 2068224036,80.0,2068224036.0
73864,tt4154756,Avengers: Infinity War,2018,2018-04-25,"Action, Adventure, Sci-Fi",149,USA,English,"Anthony Russo, Joe Russo","Christopher Markus, Stephen McFeely",321000000.0,$ 2048359754,68.0,2048359754.0
43822,tt0369610,Jurassic World,2015,2015-06-11,"Action, Adventure, Sci-Fi",124,USA,English,Colin Trevorrow,"Rick Jaffa, Amanda Silver",150000000.0,$ 1670401444,59.0,1670401444.0
79633,tt6105098,Il Re Leone,2019,2019-08-21,"Animation, Adventure, Drama",118,"USA, UK, South Africa","English, Xhosa, Zulu, French, Spanish",Jon Favreau,"Jeff Nathanson, Irene Mecchi",260000000.0,$ 1656963790,55.0,1656963790.0
50773,tt0848228,The Avengers,2012,2012-04-25,"Action, Adventure, Sci-Fi",143,USA,"English, Russian, Hindi",Joss Whedon,"Joss Whedon, Zak Penn",220000000.0,$ 1518814206,69.0,1518814206.0
68760,tt2820852,Fast & Furious 7,2015,2015-04-02,"Action, Adventure, Thriller",137,"USA, China, Japan, Canada, United Arab Emirates","English, Thai, Arabic, Spanish",James Wan,"Chris Morgan, Gary Scott Thompson",190000000.0,$ 1515048151,67.0,1515048151.0
74934,tt4520988,Frozen II - Il segreto di Arendelle,2019,2019-11-27,"Animation, Adventure, Comedy",103,USA,English,"Chris Buck, Jennifer Lee","Jennifer Lee, Hans Christian Andersen",150000000.0,$ 1450026933,64.0,1450026933.0
